,0
asignatura_L,1.3742410339279167
EstSup_si,1.3534857118318653
Ptrab_docencia,1.3108566468407639
apoyo_no,1.2419482623895028
const,1.1109010512542556
escuela_BG,1.1054582989200168
Mtrab_sanidad,1.0079827999549231
Mtrab_servicios,0.9754584299676614
pareja_no,0.8391729537314663
ApFam_no,0.7813805874868968
entorno_U,0.7632208509002241
TamFam_<4,0.7520218531786806
enfermeria_si,0.7489519143732621
sexo_F,0.6944316853311678
academia_no,0.6591521132953567
EstPadres_S,0.6196773401218795
tutor_padre,0.6127924506859252
internet_si,0.5799299809590935
tutor_otros,0.5688460498050258
extras_no,0.5623118688054038
extras_si,0.5485891824488525
internet_no,0.5309710702951635
EstPadres_J,0.4912237111323797
academia_si,0.45174893795890103
sexo_M,0.4164693659230872
razon_reputacion,0.4155469320693258
TiempoEstudio,0.38950443251168965
enfermeria_no,0.3619491368809942
TamFam_>=4,0.35887919807557495
entorno_R,0.3476802003540326
ApFam_si,0.3295204637673603
razon_optativas,0.3243496980137638
pareja_si,0.27172809752278915
razon_otras,0.24588933503853105
Medu,0.2226539492098646
Ptrab_otros,0.1788571039603692
TiempoLib,0.15792375630277852
RelFam,0.11097059697754438
razon_otros,0.1008414859568294
Ptrab_sanidad,0.08660784843153169
faltas,0.03119187996149625
razon_cercania,0.02427360017580138
AlcSem,-0.04976478981182919
edad,-0.06327903234772113
TiempoViaje,-0.06539747956014577
tutor_madre,-0.07073744923669556
Pedu,-0.07123138988431721
Ptrab_casa,-0.08620473969111253
AlcFin,-0.12661861455929116
apoyo_si,-0.1310472111352461
EstSup_no,-0.24258466057760797
asignatura_M,-0.26333998267366154
SalAm,-0.3207917816556778
salud,-0.33524425977063543
Ptrab_servicios,-0.3792158082872962
Mtrab_otros,-0.432431069137714
Mtrab_casa,-0.4396664242640286
suspensos,-0.962677603476601
