,0
T2,0.8215776359253129
faltas,0.0596657266579442
RelFam,0.009934453572310233
T1,0.008083242229670932
salud,0.006440051467923453
edad,0.006147007999142183
TiempoEstudio,0.005682356309143881
SalAm,0.005672219550641852
razon_cercania,0.005162100148485182
TiempoLib,0.005044657574309294
AlcSem,0.004792711954584572
TiempoViaje,0.004538558260719514
Pedu,0.0039259085605394045
AlcFin,0.0031769269956649668
razon_optativas,0.002628143996970119
Ptrab_servicios,0.00234862806683386
suspensos,0.0023071867307147198
Medu,0.002299179979727728
asignatura_L,0.0020687493479738042
sexo_M,0.001856909791022146
asignatura_M,0.0017450311135988473
razon_otras,0.0016174124515739657
Mtrab_servicios,0.00156684040818798
academia_no,0.0015660760864283823
Ptrab_otros,0.0015468553260521787
tutor_padre,0.0015430017188123668
Mtrab_otros,0.001291289221624496
enfermeria_no,0.001277985421440327
tutor_madre,0.0012775158151750988
academia_si,0.0012745301900209452
Mtrab_sanidad,0.001223416360010053
razon_reputacion,0.0011727527539949474
pareja_no,0.0011117318699735295
sexo_F,0.0010263829754746769
ApFam_si,0.0010006226319405123
Mtrab_casa,0.0009758678701166587
enfermeria_si,0.0009756377850489426
ApFam_no,0.0009751057014217707
Mtrab_docencia,0.0009207418869625199
extras_no,0.0009067646764108164
internet_no,0.0009020637054057252
entorno_U,0.0008711060709838363
EstSup_no,0.0008009096887678492
apoyo_no,0.0007206025257116287
apoyo_si,0.0007169100115561614
escuela_IC,0.0006636909289219765
extras_si,0.0006294197397313664
internet_si,0.000626384369067934
pareja_si,0.0006134269776356287
escuela_BG,0.0006051347243258656
Ptrab_casa,0.0005473221354080167
tutor_otros,0.0005093291821663442
entorno_R,0.0005065123203618937
EstSup_si,0.0004984597368782157
TamFam_<4,0.0004811501195809698
EstPadres_J,0.0004710564279807294
TamFam_>=4,0.00044953014361092666
Ptrab_docencia,0.0004043397876159771
razon_otros,0.0002491986475244839
Ptrab_sanidad,0.00019844157642468743
EstPadres_S,0.00018709379643578312
