,0
asignatura_L,1.3740936735297544
EstSup_si,1.3533383514337007
Ptrab_docencia,1.310797702681496
apoyo_no,1.2418009019913407
const,1.1106063304579339
escuela_BG,1.1080323146889746
Mtrab_sanidad,1.007835318742341
Mtrab_servicios,0.9753109487550776
pareja_no,0.8390255933333066
ApFam_no,0.7812332270887361
entorno_U,0.7630734905020635
TamFam_<4,0.7518744927805214
enfermeria_si,0.7488045539751012
sexo_F,0.6942843249330093
academia_no,0.6590047528971958
EstPadres_S,0.6195299797237167
tutor_padre,0.6126942104204858
internet_si,0.5797826205609334
tutor_otros,0.568747809539589
extras_no,0.5621645084072412
extras_si,0.5484418220506935
internet_no,0.5308237098970013
EstPadres_J,0.4910763507342191
academia_si,0.45160157756073904
sexo_M,0.41632200552492515
razon_reputacion,0.41548798791006136
TiempoEstudio,0.38950443251169037
enfermeria_no,0.36180177648283396
TamFam_>=4,0.35873183767741346
entorno_R,0.3475328399558722
ApFam_si,0.32937310336919756
razon_optativas,0.3242907538544986
pareja_si,0.2715807371246275
razon_otras,0.24583039087926828
Medu,0.22265394920986392
Ptrab_otros,0.1787981598011037
TiempoLib,0.15792375630277863
RelFam,0.11097059697754627
razon_otros,0.10078254179756829
Ptrab_sanidad,0.08654890427226747
faltas,0.031191879961496777
razon_cercania,0.024214656016535274
escuela_IC,0.0025740157689596865
Mtrab_docencia,-0.00014748121257687763
AlcSem,-0.04976478981182764
edad,-0.06327903234772071
TiempoViaje,-0.06539747956014633
tutor_madre,-0.07083568950213939
Pedu,-0.07123138988431729
Ptrab_casa,-0.08626368385037408
AlcFin,-0.1266186145592873
apoyo_si,-0.13119457153340497
EstSup_no,-0.24273202097576485
asignatura_M,-0.2634873430718204
SalAm,-0.32079178165567873
salud,-0.3352442597706351
Ptrab_servicios,-0.3792747524465594
Mtrab_otros,-0.43257855035029535
Mtrab_casa,-0.4398139054766129
suspensos,-0.9626776034766006
